517	Occupancy L HeLa_CX_4h_R3
518	Occupancy H HeLa_CX_4h_R3
519	Ratio H/L HeLa_CX_4h_R4
520	Ratio H/L HeLa_CX_4h_R4___1
521	Ratio H/L HeLa_CX_4h_R4___2
522	Ratio H/L HeLa_CX_4h_R4___3
523	Ratio H/L normalized HeLa_CX_4h_R4
524	Ratio H/L normalized HeLa_CX_4h_R4___1
525	Ratio H/L normalized HeLa_CX_4h_R4___2
526	Ratio H/L normalized HeLa_CX_4h_R4___3
527	Ratio H/L unmod. pep. HeLa_CX_4h_R4
528	Ratio H/L localized HeLa_CX_4h_R4
529	Ratio H/L nmods HeLa_CX_4h_R4
530	Ratio H/L variability [%] HeLa_CX_4h_R4
531	Ratio H/L count HeLa_CX_4h_R4
532	Ratio H/L iso-count HeLa_CX_4h_R4
533	Ratio H/L type HeLa_CX_4h_R4
534	Occupancy L HeLa_CX_4h_R4
535	Occupancy H HeLa_CX_4h_R4
536	Ratio H/L HeLa_CX_4h_R5
537	Ratio H/L HeLa_CX_4h_R5___1
538	Ratio H/L HeLa_CX_4h_R5___2
539	Ratio H/L HeLa_CX_4h_R5___3
540	Ratio H/L normalized HeLa_CX_4h_R5
541	Ratio H/L normalized HeLa_CX_4h_R5___1
542	Ratio H/L normalized HeLa_CX_4h_R5___2
543	Ratio H/L normalized HeLa_CX_4h_R5___3
544	Ratio H/L unmod. pep. HeLa_CX_4h_R5
545	Ratio H/L localized HeLa_CX_4h_R5
546	Ratio H/L nmods HeLa_CX_4h_R5
547	Ratio H/L variability [%] HeLa_CX_4h_R5
548	Ratio H/L count HeLa_CX_4h_R5
549	Ratio H/L iso-count HeLa_CX_4h_R5
550	Ratio H/L type HeLa_CX_4h_R5
551	Occupancy L HeLa_CX_4h_R5
552	Occupancy H HeLa_CX_4h_R5
553	Ratio H/L HeLa_CX_4h_R6
554	Ratio H/L HeLa_CX_4h_R6___1
555	Ratio H/L HeLa_CX_4h_R6___2
